timestamp,is_walking,fsr,x_acc,y_acc,z_acc
231087,1,107,-0.14,0.01,0.99
231109,1,100,-0.14,0.01,0.99
231130,1,84,-0.14,0.01,0.99
231150,1,64,-0.14,0.01,0.99
231171,1,67,-0.14,0.01,0.99
231191,1,59,-0.14,0.01,0.99
231212,1,57,-0.14,0.01,0.99
231232,1,50,-0.14,0.01,0.99
231252,1,34,-0.14,0.01,0.99
231273,1,5,-0.14,0.01,0.99
231293,1,4,-0.14,0.01,0.99
231313,1,4,-0.14,0.01,0.99
231333,1,4,-0.14,0.01,0.99
231353,1,4,-0.14,0.01,0.99
231373,1,4,-0.14,0.01,0.99
231388,1,4,-0.14,0.01,0.99
231408,1,4,-0.14,0.01,0.99
231429,1,4,-0.14,0.01,0.99
231449,1,4,-0.14,0.01,0.99
231472,1,4,-0.14,0.01,0.99
231492,1,4,-0.14,0.01,0.99
231513,1,4,-0.14,0.01,0.99
231533,1,4,-0.14,0.01,0.99
231554,1,4,-0.14,0.01,0.99
231574,1,4,-0.14,0.01,0.99
231595,1,4,-0.14,0.01,0.99
231615,1,4,-0.14,0.01,0.99
231635,1,4,-0.14,0.01,0.99
231655,1,4,-0.14,0.01,0.99
231675,1,4,-0.14,0.01,0.99
231695,1,4,-0.14,0.01,0.99
231715,1,4,-0.14,0.01,0.99
231735,1,4,-0.14,0.01,0.99
231755,1,4,-0.14,0.01,0.99
231775,1,4,-0.14,0.01,0.99
231795,1,4,-0.14,0.01,0.99
231815,1,4,-0.14,0.01,0.99
231837,1,4,-0.14,0.01,0.99
231857,1,4,-0.14,0.01,0.99
231872,1,4,-0.14,0.01,0.99
231892,1,4,-0.14,0.01,0.99
231913,1,4,-0.14,0.01,0.99
231933,1,4,-0.14,0.01,0.99
231953,1,4,-0.14,0.01,0.99
231973,1,4,-0.14,0.01,0.99
231993,1,4,-0.14,0.01,0.99
232013,1,4,-0.14,0.01,0.99
232033,1,4,-0.14,0.01,0.99
232053,1,4,-0.14,0.01,0.99
232073,1,4,-0.14,0.01,0.99
232093,1,4,-0.14,0.01,0.99
232113,1,4,-0.14,0.01,0.99
232133,1,4,-0.14,0.01,0.99
232154,1,4,-0.14,0.01,0.99
232174,1,4,-0.14,0.01,0.99
232197,1,4,-0.14,0.01,0.99
232217,1,4,-0.14,0.01,0.99
232238,1,7,-0.14,0.01,0.99
232258,1,11,-0.14,0.01,0.99
232279,1,8,-0.14,0.01,0.99
232299,1,4,-0.14,0.01,0.99
232320,1,4,-0.14,0.01,0.99
232340,1,4,-0.14,0.01,0.98
232355,1,4,-0.14,0.01,0.98
232370,1,4,-0.14,0.01,0.98
232390,1,4,-0.14,0.01,0.99
232411,1,4,-0.14,0.01,0.99
232431,1,4,-0.14,0.01,0.99
232452,1,4,-0.14,0.01,0.99
232472,1,4,-0.14,0.01,0.99
232493,1,4,-0.14,0.01,0.99
232513,1,4,-0.14,0.01,0.99
232534,1,4,-0.14,0.01,0.99
232554,1,4,-0.14,0.01,0.99
232577,1,4,-0.14,0.01,0.99
232597,1,4,-0.14,0.01,0.99
232617,1,4,-0.14,0.01,0.99
232638,1,4,-0.14,0.01,0.99
232658,1,4,-0.14,0.01,0.99
232678,1,4,-0.14,0.01,0.99
232698,1,4,-0.14,0.01,0.99
232718,1,4,-0.14,0.01,0.99
232738,1,4,-0.14,0.01,0.99
232758,1,4,-0.14,0.01,0.99
232778,1,4,-0.14,0.01,0.99
232798,1,4,-0.14,0.01,0.99
232818,1,4,-0.14,0.01,0.99
232838,1,4,-0.14,0.01,0.99
232853,1,4,-0.14,0.01,0.99
232873,1,4,-0.14,0.01,0.99
232894,1,4,-0.14,0.01,0.99
232914,1,4,-0.14,0.01,0.99
232937,1,4,-0.14,0.01,0.99
232957,1,4,-0.14,0.01,0.99
232977,1,4,-0.14,0.01,0.99
232997,1,4,-0.14,0.01,0.99
233017,1,4,-0.14,0.01,0.99
233037,1,4,-0.14,0.01,0.99
233057,1,4,-0.14,0.01,0.99
233077,1,4,-0.14,0.01,0.99
233097,1,4,-0.14,0.01,0.99
233117,1,4,-0.14,0.01,0.99
233137,1,4,-0.14,0.01,0.99
233157,1,4,-0.14,0.01,0.99
233178,1,4,-0.14,0.01,0.99
