is_walking,fsr_bottom,fsr_outside,top_x,top_y,top_z
0,0,0,0.065032959,0.038345337,-0.999328613
0,0,0,0.065032959,0.037414551,-1.002471924
0,0,0,0.065979004,0.038009644,-1.000045776
0,0,0,0.065063477,0.037689209,-1.000350952
0,0,0,0.063461304,0.035232544,-1.001342773
0,0,0,0.065841675,0.036682129,-1.000152588
0,0,0,0.064971924,0.037414551,-1.000457764
0,0,0,0.064819336,0.036148071,-0.999832153
0,0,0,0.064407349,0.036132813,-1.00088501
0,0,0,0.064666748,0.036956787,-1.000640869
0,0,0,0.064437866,0.035522461,-0.998458862
0,0,0,0.064041138,0.036697388,-0.999984741
0,0,0,0.063980103,0.036987305,-1.000427246
0,0,0,0.063293457,0.036392212,-0.999847412
0,0,0,0.065628052,0.038345337,-1.000213623
0,0,0,0.065917969,0.037445068,-1.000457764
0,0,0,0.065109253,0.036026001,-0.999984741
0,0,0,0.066131592,0.036361694,-1.001647949
0,0,0,0.065093994,0.03666687,-0.999664307
0,0,0,0.065368652,0.037017822,-1.001602173
0,0,0,0.065093994,0.036239624,-1.00088501
0,0,0,0.064529419,0.039199829,-1.001571655
0,0,0,0.064544678,0.038894653,-1.000518799
0,0,0,0.063568115,0.036529541,-0.999404907
0,0,0,0.06477356,0.037094116,-0.999679565
0,0,0,0.065597534,0.038864136,-1.001068115
0,0,0,0.064743042,0.037826538,-1.000045776
0,0,0,0.063949585,0.034393311,-1.000305176
0,0,0,0.064590454,0.038421631,-0.999343872
0,0,0,0.064346314,0.03642273,-1.000640869
0,0,0,0.065765381,0.037246704,-1.000686646
0,0,0,0.065093994,0.03553772,-1.000823975
0,0,0,0.066055298,0.037307739,-1.000778198
0,0,0,0.063796997,0.03678894,-1.000656128
0,0,0,0.065551758,0.035949707,-1.000747681
0,0,0,0.064987183,0.03817749,-0.999969482
0,0,0,0.0650177,0.037033081,-1.000045776
0,0,0,0.064926148,0.036590576,-0.999969482
