,fsr1,fsr2,x,y,z
51,0,166.0,0.06729126,0.029708862000000003,-0.9996948240000001
52,0,173.0,0.066055298,0.032821655,-0.9999847409999999
53,0,180.18,0.063919067,0.041366577,-1.00213623
54,0,186.61,0.067214966,0.040649414,-1.003387451
55,0,191.57,0.068634033,0.036987305,-1.0048370359999999
56,0,194.22,0.06793212900000001,0.033798218,-1.00163269
57,0,194.12,0.067520142,0.035919189,-0.999511719
58,0,193.84,0.066131592,0.029983521000000003,-0.99949646
59,0,195.42,0.067550659,0.030975342000000003,-1.0005493159999999
60,0,200.22,0.070785522,0.030105591,-1.001480103
61,0,206.21,0.06774902299999999,0.028945923,-1.000946045
62,0,210.1,0.066223145,0.030853271,-1.000656128
63,0,211.0,0.061721802,0.041625977,-0.997756958
64,0,210.42,0.063293457,0.040466309,-1.0004119870000001
65,0,212.76,0.068008423,0.038925171,-1.003707886
66,0,219.23,0.07130432099999999,0.036575317,-1.004486084
67,0,227.77,0.069503784,0.034683227999999997,-1.002639771
68,0,235.24,0.063323975,0.03112793,-1.002182007
69,0,240.75,0.064651489,0.029983521000000003,-0.998336792
70,0,247.34,0.067352295,0.032073975,-1.0006713870000001
71,0,256.24,0.066802979,0.030410767000000002,-1.001815796
72,0,265.72,0.067581177,0.029769897000000003,-0.99911499
73,0,271.61,0.068161011,0.031387329,-0.9999237059999999
74,0,272.02,0.069900513,0.032669067,-1.00378418
75,0,269.0,0.068893433,0.034393311,-1.002700806
76,0,263.68,0.066055298,0.035583496,-0.998840332
77,0,256.48,0.063186646,0.037750244,-0.9965515140000001
78,0,247.05,0.064865112,0.042053223,-0.9977722170000001
79,0,237.97,0.067657471,0.030288696,-1.000747681
80,0,231.95,0.067337036,0.029418945,-0.998748779
81,0,227.16,0.067520142,0.029953003,-1.001480103
82,0,219.93,0.065139771,0.030090332,-0.999938965
83,0,208.95,0.06640625,0.028472900000000006,-1.000320435
84,0,199.94,0.064163208,0.030273438,-1.00100708
85,0,198.01,0.066131592,0.029998779,-1.000732422
86,0,200.8,0.065704346,0.031524658,-1.0
