fsr0,fsr1,fsr2,fsr3
0,-0.0021717,-0.011582,0
0,-0.0066335,-0.035379,0
0,-1.1785e-17,2.2114e-17,0
0,-0.016115,0.02446,0
0,-0.013676,0.013226,0
0,0.0030244,-0.059527,0
0,0.00096906,-0.099642,0
0,-0.0058269,0.026159,0
0,-0.031946,0.11583,0
0,-0.011329,0.033985,0
0,0.032275,-0.19334,0
0,0.03103,-0.19854,0
0,-0.033547,0.14716,0
0,-0.0815,0.33491,0
0,6.18e-17,-2.0584e-16,0
0,0.11041,-0.52756,0
0,0.067812,-0.33646,0
0,-0.12326,0.55676,0
0,-0.18136,0.85288,0
0,0.061844,-0.34454,0
0,0.26957,-1.8424,0
0,0.069956,-0.72508,0
0,-0.11277,4.4106,0
0,1.0963,11.822,0
0,4.7632,18.336,0
0,10.331,22.578,0
0,16.011,26.017,0
0,20.179,30.116,0
0,22.524,34.529,0
0,23.277,37.682,0
0,22.258,39.175,0
0,19.289,40.263,0
0,15.347,41.722,0
0,12.363,42.933,0
0,11.358,42.6,0
0,11.315,40.616,0
0,10.566,37.869,0
0,8.988,34.89,0
0,8.0054,32.021,0
0,8.3903,30.067,0
0,9.0391,30.776,0
0,8.5381,34.63,0
0,7.2901,39.505,0
0,7.1375,42.307,0
0,9.0648,41.934,0
0,12.305,40.959,0
0,15.925,42.731,0
0,20.122,48.086,0
0,24.94,54.385,0
0,28.326,57.87,0
0,27.018,57.038,0
0,20.012,53.056,0
0,10.443,49.028,0
0,3.0244,47.406,0
0,0.062763,49.021,0
0,0.10457,52.851,0
0,0.47537,56.596,0
0,0.11615,58.802,0
0,-0.35201,59.452,0
0,-0.24539,60.122,0
0,0.14105,61.771,0
0,0.23088,63.545,0
0,1.4035e-16,64.043,0
0,-0.16577,62.895,0
0,-0.069369,61.944,0
0,0.073188,62.688,0
0,0.072864,64.692,0
0,-0.019319,66.213,0
0,-0.056463,66.255,0
0,-0.010738,65.995,0
0,0.017515,66.594,0
0,0.011488,68.097,0
0,-0.016904,69.515,0
0,-0.018373,70.532,0
0,-1.27e-17,72.048,0
0,-0.015478,74.099,0
0,-0.0050673,75.789,0
0,0,75.803,0
0,0,74.619,0
0,0,74.013,0
0,0,74.583,0
0,0,75.132,0
0,0,73.585,0
0,0,70.106,0
0,0,66.976,0
0,0,66.526,0
0,0,69.046,0
0,0,72.045,0
0,0,73.266,0
0,0,72.034,0
0,0,70.185,0
0,0,70.263,0
0,0,73.048,0
0,0,77.278,0
0,0,80.015,0
0,0,79.626,0
0,0,76.602,0
0,0,73.064,0
0,0,71.048,0
0,0,70.42,0
0,0,70.237,0
0,0,69.48,0
0,0,68.724,0
0,0,69.269,0
0,0,71.435,0
0,0,74.476,0
0,-0.039593,76.738,0
0,-0.049445,77.787,0
0,-0.087236,78.021,0
