,fsr_med,is_walking,x_energy,x_mean,x_var,y_energy,y_mean,y_var,z_energy,z_mean,z_var
1794,318.0,1.0,0.11613996,-0.1186,0.117507111111,1.946663785,-0.0851,1.96684746465,0.993068,0.796,1.0047979798
1845,300.5,1.0,0.003724705,-0.1745,0.00376237373737,1.61320736,-0.1792,1.62950238384,0.01582594,0.9702,0.0159858181818
1896,295.0,1.0,0.00258924,-0.1578,0.00261935353535,0.000223785,0.000900000000001,0.000226454545454,0.00102822,0.9804,0.00104024242424
1947,279.5,1.0,0.09485968,-0.112,0.0958181818182,0.821384305,-0.1883,0.829923343434,0.01775846,0.9916,0.0179751919192
1998,299.0,1.0,0.09295494,-0.1192,0.0938963232323,0.82264072,-0.1844,0.831212767677,0.016568545,0.9999,0.0167585757576
2049,315.0,1.0,0.390107305,-0.0545,0.394728030303,0.114540185,0.0641,0.115897161616,0.341770345,0.8871,0.345816757576
2100,334.0,1.0,0.39025984,-0.0552,0.394885818182,0.11438284,0.0654,0.115740242424,0.341613065,0.8863,0.345657888889
2151,323.5,1.0,0.040830065,-0.1293,0.0413116262626,1.63353306,-0.2162,1.65287430303,0.63571912,0.8476,0.643246707071
2202,286.5,1.0,0.04057156,-0.1254,0.0410493333333,1.6340625,-0.215,1.65340909091,0.635970305,0.8485,0.643495707071
2253,278.0,1.0,5.198e-05,-0.162,5.25252525249e-05,1.50463276905e-36,0.01,7.17719935111e-16,1.96e-06,0.9898,1.97979798027e-06
2304,272.0,1.0,0.17246976,-0.2232,0.174211878788,0.321676985,-0.0699,0.324926252525,0.07224004,0.9514,0.0729697373737
2355,214.5,1.0,0.17407584,-0.2196,0.175834181818,0.32076156,-0.0762,0.324001575758,0.07246404,0.9486,0.073196
2406,223.0,1.0,0.00127156,-0.1662,0.0012844040404,6.436e-05,-0.0058,6.50101010108e-05,0.00044484,0.9846,0.000449333333334
2457,270.5,1.0,8.676e-05,-0.1682,8.7636363636e-05,1.6585e-05,-0.0079,1.67575757583e-05,1.9705e-05,0.9873,1.99090909095e-05
2508,294.0,1.0,0.000116505,-0.1543,0.000117686868686,3.5705e-05,-0.0027,3.60707070714e-05,2.905e-06,0.9897,2.93939393985e-06
2559,310.5,1.0,0.000207785,-0.1589,0.000209888888888,9.8065e-05,0.000900000000002,9.91818181825e-05,3.9345e-05,0.9869,3.97878787883e-05
2610,309.0,1.0,0.030565305,-0.1887,0.0308740505051,0.030230785,0.0247,0.0305362727273,0.000306705,0.9845,0.000309848484849
2661,260.5,1.0,0.03087456,-0.1812,0.0311864242424,0.030343785,0.0211,0.0306502929293,0.00028224,0.9876,0.000285090909091
2712,252.0,1.0,2.09480622,-0.2744,2.12232387879,0.324666185,-0.1379,0.328129888889,0.94783338,0.8262,0.959189454545
2763,245.0,1.0,2.09469054,-0.2748,2.1222070303,0.32516568,-0.136,0.328636363636,0.94783338,0.8262,0.959189454545
2814,248.0,1.0,3.0105e-05,-0.1583,3.04141414132e-05,1.6e-05,-0.002,1.61616161623e-05,6.16297582204e-33,0.99,5.74175948089e-16
2865,256.0,1.0,3.2985e-05,-0.1601,3.33232323223e-05,1.6585e-05,0.0021,1.67575757583e-05,6.16297582204e-33,0.99,5.74175948089e-16
2916,256.0,1.0,0.00246334,-0.1696,0.00249276767677,1.485011145,0.2249,1.50257877778,0.26494762,1.0806,0.268084484848
2967,244.5,1.0,0.002572305,-0.1643,0.00260253535353,1.480095185,0.2363,1.49762758586,0.26494762,1.0806,0.268084484848
3018,242.0,1.0,7.36e-06,-0.1508,7.43434343346e-06,1.204e-05,0.0286,1.21616161626e-05,6.16297582204e-33,0.99,5.38289951333e-16
3069,257.0,1.0,2.1385e-05,-0.1531,2.16060606052e-05,0.0,0.03,1.00445965028e-15,6.16297582204e-33,0.99,5.38289951333e-16
3120,270.5,1.0,4.164e-05,-0.1506,4.20606060597e-05,0.0,0.03,1.00445965028e-15,6.16297582204e-33,0.99,5.38289951333e-16
3171,254.0,1.0,0.10525706,-0.2038,0.106502585859,0.000664345,0.0261,0.000672515151516,0.046854745,1.0281,0.0474094848485
3222,232.5,1.0,0.107813705,-0.2017,0.109086979798,0.000671305,0.0225,0.000679545454546,0.047384105,1.0255,0.0479441919192
3273,226.5,1.0,0.00238456,-0.1488,0.00240864646465,4.184e-05,0.0196,4.22626262636e-05,0.00033124,0.9874,0.000334585858586
3324,242.0,1.0,1.598e-05,-0.158,1.61616161607e-05,2.3305e-05,0.0163,2.35454545464e-05,6.16297582204e-33,0.99,5.11200229173e-16
3375,250.0,1.0,9.3785e-05,-0.1611,9.47373737365e-05,0.00043824,0.0124,0.000442666666668,3.584e-05,0.9904,3.62020202025e-05
3426,215.0,1.0,0.000162745,-0.1555,0.000164393939393,0.000412505,0.0093,0.000416676767678,3.584e-05,0.9904,3.62020202025e-05
3477,226.0,1.0,4.674e-05,-0.1518,4.72323232314e-05,1.5385e-05,0.0081,1.55454545464e-05,6.16297582204e-33,0.99,5.10884140434e-16
3528,234.0,1.0,4.228e-05,-0.1558,4.2787878787e-05,2.3305e-05,0.0037,2.35454545464e-05,9.85e-07,0.9899,1.00000000051e-06
3579,231.5,1.0,0.471909905,-0.1107,0.477257080808,1.243841945,-0.0131,1.25714685859,0.44641096,0.8952,0.451649454545
3630,260.5,1.0,0.472247345,-0.1145,0.47760479798,1.243884785,-0.0121,1.25718241414,0.446468545,0.8955,0.451703787879
3681,290.0,1.0,0.077179385,-0.1101,0.0780898888889,0.01518192,0.0304,0.0153614545455,0.01189888,0.9708,0.0120397575758
3732,262.5,1.0,0.848149545,-0.2585,0.858990656566,0.04371592,0.0096,0.0443069090909,0.13984384,1.0332,0.141630060606
3783,229.5,1.0,1.004095145,-0.2271,1.01451170707,1.05594592,-0.188,1.06905858586,0.131641705,1.0407,0.133115666667
3834,223.5,1.0,0.22025094,-0.0708,0.222866020202,1.03913402,-0.1586,1.05143640404,0.004418505,0.9783,0.00447081818182
3885,234.0,1.0,9.6545e-05,-0.1479,9.75656565648e-05,0.00024544,0.0184,0.00024791919192,0.00345744,0.9816,0.00349236363636
3936,223.0,1.0,0.06343472,-0.1876,0.0641861010101,0.207596305,0.0985,0.210053282828,0.20154778,0.903,0.20393030303
3987,242.5,1.0,0.735432105,-0.0425,0.743400757576,0.45073138,0.0158,0.455285212121,0.42928512,0.8244,0.435160242424
4038,240.5,1.0,0.65898154,0.000200000000001,0.666791878788,0.229222105,-0.0653,0.231936272727,0.2443105,0.903,0.247203030303
4089,202.0,1.0,2.9265e-05,-0.1463,2.96060606052e-05,9e-06,0.019,9.09090909153e-06,6.16297582204e-33,0.99,6.28004943222e-16
4140,218.0,1.0,1.8905e-05,-0.1497,1.91010101002e-05,1.9705e-05,0.0173,1.99090909097e-05,6.16297582204e-33,0.99,6.28004943222e-16
4191,280.0,1.0,0.001414785,-0.1499,0.0014313030303,0.08927508,-0.0398,0.0903332929293,0.09204202,1.0434,0.0931317575758
4242,283.5,1.0,0.00143994,-0.1542,0.00145692929293,0.088705785,-0.0453,0.0897564747475,0.09204202,1.0434,0.0931317575758
4293,242.5,1.0,2.0585e-05,-0.1629,2.07979797972e-05,4.164e-05,-0.000599999999998,4.20606060612e-05,6.16297582204e-33,0.99,6.68376689572e-16
4344,238.5,1.0,2.494e-05,-0.1648,2.52121212113e-05,2.242e-05,-0.0066,2.26666666673e-05,6.16297582204e-33,0.99,6.68376689572e-16
4395,226.5,1.0,2.398e-05,-0.164,2.42424242416e-05,2.242e-05,-0.0066,2.26666666673e-05,8.185e-06,0.9891,8.27272727339e-06
4446,221.0,1.0,5e-05,-0.166,5.05050505042e-05,1.8745e-05,-0.0075,1.893939394e-05,2.0585e-05,0.9871,2.07979797986e-05
4497,213.5,1.0,0.006849465,-0.1493,0.00692980808081,2.11673942,0.25,2.1418040404,0.042402905,0.9517,0.0429051616162
