is_walking,fsr1_med,fsr2_med,x_mean,y_mean,z_mean,x_var,y_var,z_var,x_energy,y_energy,z_energy
1.0,0.0,107.205,0.06610457100000001,0.05777359008333332,-0.999916076625,0.0005039437618567475,0.0006969774375559957,6.461112694563671e-05,0.000493286098887101,0.0006813180077634633,6.317728927920903e-05
1.0,0.0,113.85499999999999,0.06144205724999999,0.05604775743749999,-0.9997892378958332,0.00013899785834125883,0.0007254563447036748,3.388789250811964e-05,0.00013535234761271925,0.0007060128673524546,3.303979484344014e-05
1.0,0.0,122.115,0.06362311047916669,0.06539758047916666,-0.999824841770833,0.0015204308182862497,0.0010318181773219587,3.9561284847697305e-05,0.0014852077605190337,0.001002728539418621,3.806061527131184e-05
1.0,0.0,165.35,0.06565062200000003,0.057525952687499986,-1.000367482520833,0.0014962129053534554,0.0009509005938885847,3.238465911397859e-05,0.0014650122332001065,0.0009079570858917412,3.1487576748880735e-05
1.0,0.212735,173.71,0.06254800150000002,0.05844529470833332,-1.0003595352083334,0.00011875934043977158,0.0007269032994998087,3.994491863021449e-05,0.00011389002187984467,0.0006989582982836163,3.898322074302377e-05
1.0,31.5215,202.425,0.06802781425000001,0.06197897587499999,-0.9978348413124999,0.00030556273463587313,0.000700504532386039,8.095695226556388e-05,0.0002975326649631378,0.0006829001110283645,7.89790682308099e-05
1.0,28.3665,222.985,0.06935723625000002,0.05703035987499999,-0.998578389395833,0.00041141063625286264,0.0008920551242362091,9.356408826730937e-05,0.000402713923070755,0.0008693103367836841,9.010411404632443e-05
1.0,48.579499999999996,291.46000000000004,0.06960392002083339,0.061288833687499995,-1.000026067083333,0.0004562779537948328,0.0005555235095679091,6.127591223646822e-05,0.000444974333403543,0.0005245830151752773,5.818761012490247e-05
1.0,5.36765,285.745,0.07072385152083337,0.056509017979166666,-0.9985074996875,0.00028213133391614563,0.0004321077418806345,3.4373864140647376e-05,0.00027403256618987765,0.0004229896783791591,3.3588456637336035e-05
1.0,4.82105,257.46500000000003,0.06875101720833332,0.06633790331249999,-0.9983981450416662,9.319229114395601e-05,0.00048497595448886545,8.765206279473586e-06,9.029467867013542e-05,0.0004731247370730632,8.57971163585249e-06
1.0,0.007165350000000001,278.19,0.06933275854166665,0.06655661264583332,-0.9990460078333325,8.233614714500628e-05,0.00044745018271223825,1.220776605850811e-05,7.914415324601032e-05,0.0004378432973355991,1.1930688060771783e-05
1.0,0.0,284.14,0.06924279527083332,0.06231562293749996,-0.9995857874791659,0.000133359984713896,0.0005503959727642065,1.626284403110351e-05,0.00013056886779729077,0.0005055512982916575,1.5837192146282762e-05
1.0,0.0,289.19,0.06984710689583333,0.06605084733333332,-0.9994080861041662,0.00012847987266954579,0.0005754595399334349,1.6889673216962825e-05,0.00012568616250787398,0.0005499867879205029,1.6537610797257777e-05
1.0,0.0,295.55,0.07014052068750001,0.06154950458333333,-0.999606450375,0.00014022850484888882,0.00039763509794607825,1.1896783535563367e-05,0.0001370662894622391,0.00038850497780106637,1.1645140477589382e-05
1.0,0.0,294.59000000000003,0.06968275702083335,0.06578572593750003,-0.9992081324166668,0.00014509476369145176,0.0002987806221429398,1.0520549332404066e-05,0.00014147090138867544,0.00028997148930617845,9.88023631919726e-06
1.0,0.0,310.855,0.07015037541666669,0.060854276104166695,-0.9987726211666668,0.0001864459902657303,0.00034353369955917505,5.744674078634144e-06,0.0001797663242423336,0.0003363242817104222,5.276296702531783e-06
1.0,0.0,291.51,0.06925805414583334,0.06051381433333333,-0.9988327026458331,0.0001875154813241317,0.00036278087865718753,1.3191975614816083e-05,0.0001826889403012716,0.00034968195925720217,1.2701055724502116e-05
1.0,0.0,299.355,0.06960074106250003,0.06573422749999998,-0.9979775747083331,0.00014058684182196373,0.0003357532716930123,3.054417913921509e-05,0.00013530434754196398,0.000323312260242689,2.964194436689131e-05
1.0,0.0,291.28999999999996,0.07026576997916671,0.06179491672916665,-0.9985774358125002,0.00017602192041745222,0.0006449476776644705,2.6600218878867558e-05,0.0001688529583637539,0.0006289368395552753,2.6039679933443003e-05
1.0,0.0,288.975,0.0697167714166667,0.06515185035416665,-0.9995791117291669,0.0002346698550501079,0.0007566953292399847,1.7997191964003508e-05,0.00022960041050458616,0.0007395243513656655,1.761776341843988e-05
1.0,0.0,309.405,0.0706955591041667,0.06298859916666665,-0.9991490047083333,0.00029541397665604864,0.00039595171869613344,1.4782548442515869e-05,0.0002887340013958378,0.00038766916295560506,1.4164565818917651e-05
1.0,0.0,304.1,0.06818898512500002,0.06546370187499999,-0.9987068177083329,0.00022302061882421576,0.0006139974162999097,1.5551863682947268e-05,0.00021835839712753137,0.0005997384185324848,1.5183030248681557e-05
1.0,0.0,323.255,0.06849638618750004,0.06649843852083331,-0.9986171722499998,0.00016323649804204958,0.0006550925687921796,1.4767176047502442e-05,0.00015862207751053266,0.0006403143605852667,1.4368528376024667e-05
