,fsr1_med,fsr2_med,is_walking,x_energy,x_mean,x_var,y_energy,y_mean,y_var,z_energy,z_mean,z_var
924,0.0,291.28999999999996,1.0,0.0,0.07026576997916671,0.00017602192041745208,0.0,0.06179491672916665,0.0006449476776644704,0.0,-0.9985774358125002,2.660021887886908e-05
949,0.0,288.975,1.0,0.0,0.0697167714166667,0.0002346698550501078,0.0,0.06515185035416665,0.0007566953292399846,0.0,-0.9995791117291669,1.799719196400511e-05
974,0.0,309.405,1.0,0.0,0.0706955591041667,0.0002954139766560485,0.0,0.06298859916666665,0.0003959517186961334,0.0,-0.9991490047083333,1.4782548442517438e-05
999,0.0,304.1,1.0,0.0,0.06818898512500002,0.00022302061882421563,0.0,0.06546370187499999,0.0006139974162999097,0.0,-0.9987068177083329,1.5551863682949084e-05
1024,0.0,323.255,1.0,0.0,0.06849638618750004,0.00016323649804204945,0.0,0.06649843852083331,0.0006550925687921796,0.0,-0.9986171722499998,1.476717604750428e-05
1049,0.0,328.41999999999996,1.0,0.0,0.06805356343750005,6.409639342760713e-05,0.0,0.06596501666666663,0.0003518613567282667,0.0,-0.9989525477500001,5.064160650469603e-06
1074,0.0,331.96500000000003,1.0,0.0,0.06870841981250005,0.00016138301214834515,0.0,0.06987921393749993,0.00029799957214871476,0.0,-0.9989576339791663,1.8333185669119174e-05
1099,0.0,336.265,1.0,0.0,0.0695072809375,0.00019091392098090018,0.0,0.06387074789583327,0.0002640946412402546,0.0,-0.9992364247291663,1.9792358190169602e-05
1124,0.0,337.91,1.0,0.0,0.06857236222916667,0.00010580785600433485,0.0,0.06954606372916665,0.00023572062955951381,0.0,-0.9993216196458331,5.853263010657157e-06
1149,0.0,340.845,1.0,0.0,0.06940905258333334,0.00013401892253208722,0.0,0.0696420669375,0.0003972630191585201,0.0,-0.9991057713541661,7.914198468497237e-06
1174,0.0,319.91999999999996,1.0,0.0,0.06897322337499998,0.00017602062254020004,0.0,0.06314881643749996,0.0004907700312999154,0.0,-0.9989477793333332,1.1470951282896973e-05
1199,0.0,329.805,1.0,0.0,0.06929206843749998,0.00017152473532194336,0.0,0.06535498304166663,0.0004297997141543653,0.0,-0.9992316564375002,8.089908653342991e-06
