is_classified,medial_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
1,0,339.65,0.046601,-0.99681,0.0012299,0.0001767,6.38E-06,0.00029508,0.0023447,0.99363,0.00029044
1,0,347.23,0.045317,-0.99672,0.0011431,0.00013377,5.68E-06,0.00027946,0.0021846,0.99345,0.00027495
1,0,342.73,0.044477,-0.9968,0.0027793,7.72E-05,1.83E-06,0.00024578,0.0020538,0.99361,0.00024839
1,0,333.48,0.044841,-0.99701,-0.0014064,0.00015518,4.75E-06,0.00023597,0.0021627,0.99404,0.00023303
1,0,333.22,0.045286,-0.99693,-0.0013072,0.00015195,5.80E-06,0.00026933,0.0021997,0.99388,0.00026543
1,0,341.18,0.045731,-0.99708,-0.0019201,0.000109,8.54E-06,0.00025553,0.0021981,0.99418,0.0002539
1,0,342.19,0.044781,-0.99713,0.0022046,0.00013183,7.51E-06,0.00030515,0.0021345,0.99428,0.00030365
1,0,339.61,0.044979,-0.99706,-0.00038719,0.00013702,1.99E-06,0.00026964,0.0021573,0.99413,0.00026418
1,0,350.32,0.044688,-0.99708,-0.0024468,9.49E-05,2.06E-06,0.00017141,0.0020899,0.99418,0.00017382
1,0,354.63,0.043879,-0.99734,-0.0038544,9.69E-05,4.82E-06,0.00016747,0.0020203,0.99469,0.00017884
1,0,360.1,0.0432,-0.99753,-0.0056591,0.00010696,4.97E-06,0.0002429,0.001971,0.99506,0.00026987
1,0,372.43,0.044077,-0.99698,-0.0043259,9.13E-05,5.74E-06,0.00022254,0.0020322,0.99397,0.00023662
1,0,359.34,0.044488,-0.9967,9.06E-05,0.00013198,7.52E-06,0.00011562,0.0021084,0.99342,0.00011321
1,0,349.62,0.044313,-0.99673,-0.0028782,0.00014495,7.04E-06,0.00018039,0.0021056,0.99348,0.00018492
1,0,349.28,0.044008,-0.99671,0.00026925,0.00013541,5.32E-06,0.00027692,0.0020693,0.99343,0.00027123
1,0,360.81,0.04413,-0.99647,0.001997,0.00010666,3.30E-06,0.00030372,0.0020519,0.99296,0.00030138
1,0,361.98,0.045857,-0.99696,0.00072829,7.66E-05,5.24E-06,0.00028913,0.0021779,0.99394,0.00028364
1,0,363.04,0.045279,-0.99744,0.0012465,7.14E-05,9.09E-06,0.00017624,0.0021201,0.99489,0.00017412
1,0,362.88,0.044446,-0.99702,0.0026817,0.00010757,9.07E-06,0.0002271,0.0020808,0.99406,0.00022956
1,0,362.61,0.04509,-0.99684,0.003485,0.00010464,3.99E-06,0.00021574,0.0021356,0.9937,0.0002234
1,0,370.32,0.046111,-0.9967,-0.0010786,0.00014597,5.04E-06,0.0001264,0.0022692,0.99342,0.00012493
1,0,375.69,0.045585,-0.99712,-0.00081921,0.00020902,8.20E-06,0.00020728,0.0022827,0.99427,0.00020364
1,0,375.13,0.045518,-0.99753,0.0035655,0.00014311,6.07E-06,0.0002406,0.002212,0.99508,0.0002483
1,0,366.12,0.04689,-0.99306,0.0012239,0.00015789,0.00025812,0.00041222,0.0023533,0.98641,0.00040513
0,0,216.69,0.045946,-0.99233,-0.014745,0.00013607,0.00025585,0.00034136,0.0022443,0.98497,0.00055165
0,0,148.52,0.045906,-0.99468,-0.023071,5.42E-05,0.00011495,0.00028229,0.0021604,0.9895,0.00080869
0,0,321.72,0.046743,-0.99574,-0.011662,0.00024557,0.0002969,0.00054419,0.0024254,0.9918,0.00066886
1,0,347.68,0.045103,-0.99777,-0.00073465,0.00024119,0.00018927,0.0002178,0.0022704,0.99572,0.00021381
1,0,356.24,0.044079,-0.9967,0.0031915,7.31E-05,1.08E-05,0.00021039,0.002015,0.99341,0.00021757
