is_walking,median_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
1,-0.17426,0.057243,1.7897,1.4594,1.6305,0.52772,-0.30862,-0.080889,1.8818,1.3922,-1.6395
1,-0.17426,-0.0076783,2.7771,0.79755,1.2277,0.11517,-0.38441,0.71965,2.6544,0.65454,-1.1955
1,-0.17426,0.27183,0.078959,0.74852,0.065257,0.99173,-0.069165,4.5904,0.48774,0.66734,0.096313
1,-0.17426,0.24367,-0.31602,1.6694,0.47958,0.93292,-0.090181,3.7847,0.10361,1.6774,-0.34197
1,-0.17426,0.32312,0.21342,1.028,-0.47567,-0.11421,-0.37361,-0.076066,0.13471,0.90181,0.47116
1,-0.17426,0.33469,0.52016,1.0983,-0.038324,-0.37502,0.20976,0.13291,0.30454,1.0965,0.038644
1,-0.17426,0.1557,1.412,0.85353,0.92843,-0.043932,0.55578,-0.17734,1.2784,0.90454,-0.93596
1,-0.17426,0.29281,0.083161,0.72209,0.11129,0.53799,1.2233,-0.38953,0.29614,0.9024,-0.12283
1,-0.17426,0.21139,0.16195,0.99192,0.2494,-0.168,1.3759,-0.46348,0.064417,1.2187,-0.267
1,-0.17426,0.28429,0.18716,0.33948,0.30695,-0.37962,-0.25014,-0.45222,-0.0040114,0.21476,-0.32467
1,-0.17426,0.46991,-0.78085,1.4046,0.18035,-0.45323,-0.12308,-0.54755,-0.91069,1.368,-0.20357
1,-0.17426,0.40086,1.215,0.54815,1.4924,-0.056671,0.96571,-0.13876,1.0874,0.67137,-1.5011
1,-0.17426,0.58558,0.28012,0.244,1.8607,1.0222,0.54105,-0.14197,0.68494,0.2815,-1.8644
1,-0.17426,0.61993,-0.85334,1.5795,1.1356,0.96901,-0.068708,-0.5199,-0.36357,1.5781,-1.1551
1,-0.17426,0.35181,0.2838,0.96195,1.4463,0.17123,-0.27898,-0.46669,0.32196,0.85013,-1.4665
0,-0.17426,-1.3023,-0.31234,1.3939,0.77882,-0.12143,-0.65562,-0.36381,-0.34678,1.2476,-0.78602
0,-0.17426,-1.2715,-0.77665,0.95705,-2.3516,1.3804,0.10547,0.10076,-0.11785,0.92303,2.3339
0,-0.17426,-1.0201,-0.53189,-0.85193,-2.4667,0.75449,-0.76921,-0.087319,-0.16793,-0.97999,2.5069
1,-0.17426,-0.3278,0.42351,-2.1018,-0.40661,-0.94555,-1.2886,-0.54739,-0.030139,-2.0333,0.38466
1,-0.17426,-0.25481,0.50125,-0.48675,-1.0856,-0.37198,1.5642,0.41905,0.28774,-0.19123,1.1228
1,-0.17426,-0.37147,0.15092,0.92995,-0.84395,0.81239,0.84738,1.8472,0.47623,1.0449,0.91521
1,-0.17426,0.025052,-0.65217,0.46316,-0.76339,0.67289,-0.010286,1.1215,-0.3107,0.387,0.81141
1,-0.17426,-0.062736,-1.1154,1.9244,-0.2685,-0.31585,0.2507,-0.19502,-1.1489,2.0467,0.26355
1,-0.17426,-0.070448,-0.17998,1.6623,0.065257,-0.25767,0.75829,-0.20627,-0.2855,1.8417,-0.070927
1,-0.17426,0.068632,-0.2073,0.45812,-0.41812,-0.38833,-0.27076,-0.34131,-0.36668,0.32891,0.40773
1,-0.17426,0.0022752,-1.0062,1.2775,0.019221,-0.59945,-0.93043,-0.5588,-1.1745,1.0617,-0.042093
1,-0.17426,0.23255,-1.0629,1.2134,-0.29152,-0.48925,-0.94767,-0.3606,-1.1773,0.98728,0.28085
1,-0.17426,0.34715,-1.1291,0.18121,-1.4309,-0.44339,-0.42336,-0.28665,-1.2161,0.02439,1.3535
1,-0.17426,0.2573,-0.78348,0.32927,-1.2007,-0.68651,-0.084756,-0.45383,-1.0133,0.23823,1.1228
1,-0.17426,0.3736,-0.79661,0.56763,-0.36058,-0.49046,-0.26351,-0.53115,-0.94086,0.44129,0.34429
1,-0.17426,0.44749,-1.0839,0.74579,0.27242,-0.2174,-0.34774,-0.48116,-1.0787,0.60784,-0.29007
1,-0.17426,0.49448,0.029061,0.17767,0.79032,-0.42018,-0.40234,-0.41364,-0.16544,0.025219,-0.80909
1,-0.17426,0.61778,-0.099622,-0.46183,0.28393,-0.65253,-1.0209,-0.55044,-0.38255,-0.69455,-0.30737
1,-0.17426,0.54209,-0.89903,0.31565,0.59467,-0.57263,-0.79171,-0.45062,-1.0675,0.081169,-0.61302
1,-0.17426,0.63024,-0.3885,0.22303,0.5026,-0.59591,-0.41776,-0.38471,-0.61987,0.066234,-0.52075
1,-0.17426,0.64557,-0.32705,-0.26964,-0.31454,-0.21592,-0.1598,-0.5408,-0.4009,-0.34652,0.29239
1,-0.17426,0.57267,-0.64534,0.44436,0.053748,-0.25173,0.61637,-0.59433,-0.70261,0.49546,-0.070927
1,-0.17426,0.74215,-0.94,0.49558,-0.061342,-0.81673,0.099935,-0.25611,-1.209,0.44212,0.055945
1,-0.17426,0.74556,-1.4174,0.81635,0.019221,-0.69783,-0.34877,-0.010158,-1.5797,0.68157,-0.013258
1,-0.17426,0.8589,-1.4637,0.38375,0.47958,-0.30757,0.045738,-0.27379,-1.4525,0.31896,-0.48614
1,-0.17426,0.92687,-1.5319,0.0228,0.60618,-0.017957,0.79318,-0.44419,-1.3878,0.11958,-0.61878
1,-0.17426,0.88652,-1.2972,0.079326,0.29544,-0.26029,1.077,-0.52488,-1.2858,0.23112,-0.30737
1,-0.17426,0.80357,-0.89063,-0.50473,-0.49868,0.45164,1.0324,-0.35738,-0.61925,-0.31522,0.49423
1,-0.17426,0.80124,-0.93002,-0.58646,-0.67132,0.43437,0.93504,-0.37346,-0.66186,-0.40662,0.66147
1,-0.17426,0.87262,-0.90008,-1.5967,-0.71735,-0.2794,-0.37584,-0.55816,-0.94211,-1.4889,0.69607
1,-0.17426,0.88168,-0.68473,-1.0784,-0.08436,0.45256,0.87268,-0.30916,-0.43511,-0.833,0.079013
