top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,front_side_x,front_side_y,front_side_z,front_side_timestamp,front_x,front_y,front_z,front_timestamp,fsr_bottom,fsr_outside
0.0721282959,0.0124664307,-1.0008544922,87611.3324275,0.0043487549,-0.9962158203,-0.039276123,7069.3520665,0.037322998,-0.9998626709,-0.012008667,33566.338160125,0.0303039551,-0.9983978271,-0.0157012939,14588.364404875,0,0
0.0822753906,0.0085754395,-1.0003662109,87611.3733379167,0.0078887939,-0.9961395264,-0.0381164551,7069.3933115,0.0367431641,-0.9994354248,-0.0115356445,33566.379664125,0.0298614502,-0.9976501465,-0.0162353516,14588.406213875,0,0
0.0809783936,-0.0071563721,-1.0048980713,87611.4142629167,0.0055999756,-0.9970397949,-0.0363311768,7069.4347085,0.0367584229,-0.9997711182,-0.0128479004,33566.421199125,0.0311126709,-0.9979400635,-0.0156402588,14588.448022875,0,0
0.0793609619,-0.0221252441,-1.0098571777,87611.4551869167,0.0066375732,-0.9960327148,-0.0374755859,7069.4761135,0.0368652344,-0.9992370605,-0.0120239258,33566.462703125,0.0300140381,-0.9973144531,-0.015914917,14588.489801875,0,0
0.0773925781,0.0070953369,-0.9975891113,87611.4960799167,0.0054779053,-0.9959106445,-0.0379180908,7069.5175145,0.0362243652,-0.9992523193,-0.0121765137,33566.504207125,0.0301361084,-0.9972229004,-0.0165405273,14588.531610875,0,0
0.0691375732,0.0249328613,-0.9994812012,87611.5370039167,0.006072998,-0.9960784912,-0.0379486084,7069.5589125,0.0369415283,-0.999130249,-0.0131378174,33566.545710125,0.0304107666,-0.9974975586,-0.0153808594,14588.573388875,0,0
0.0626220703,0.040145874,-1.0043487549,87611.5779279167,0.0068817139,-0.9960479736,-0.0367279053,7069.6001585,0.036895752,-0.9986724854,-0.0117797852,33566.587245125,0.0299835205,-0.9973602295,-0.0155029297,14588.615197875,0,0
0.0704498291,0.0508575439,-1.0040893555,87611.6188519167,0.007598877,-0.9970245361,-0.038772583,7069.6415465,0.0375061035,-0.9995269775,-0.0121917725,33566.628749125,0.0303497314,-0.9974975586,-0.0154876709,14588.657006875,0,0
0.0808105469,0.0117340088,-0.9857177734,87611.6597759167,0.0049133301,-0.9957885742,-0.0370178223,7069.6829355,0.0375823975,-0.9991149902,-0.0130310059,33566.670253125,0.0297393799,-0.9962615967,-0.0151367188,14588.698785875,0,0
0.1181488037,0.0331878662,-0.9799346924,87611.7007009167,0.0063171387,-0.99609375,-0.0372467041,7069.7243255,0.0364837646,-0.9996795654,-0.0123138428,33566.711757125,0.0301055908,-0.9972229004,-0.0164489746,14588.740594875,0,0
0.0680236816,0.0280609131,-1.0054016113,87611.7416249167,0.0070953369,-0.9962463379,-0.0372772217,7069.7657155,0.0367279053,-0.9991912842,-0.0126953125,33566.753291125,0.0297698975,-0.9972381592,-0.0157470703,14588.782373875,0,0
0.0336456299,0.0214233398,-1.0213775635,87611.7825489167,0.0050506592,-0.9944763184,-0.0378570557,7069.8069555,0.0364990234,-0.9994354248,-0.0121917725,33566.794795125,0.03074646,-0.9978179932,-0.0159301758,14588.824182875,0,0
0.041015625,0.0068054199,-0.9974975586,87611.8234419167,0.0079193115,-0.9967346191,-0.0353088379,7069.8483475,0.0366821289,-0.9993591309,-0.012588501,33566.836299125,0.0300445557,-0.9970703125,-0.01612854,14588.865960875,0,0
0.049621582,0.0138702393,-0.980255127,87611.8643659167,0.0056152344,-0.9978942871,-0.0401916504,7069.8897385,0.0381011963,-0.9991760254,-0.0129089355,33566.877803125,0.0303955078,-0.9969024658,-0.0157775879,14588.907769875,0,0
