is_walking,fsr_bottom,fsr_outside,top_x,top_y,top_z,side_x,side_y,side_z,corner_x,corner_y,corner_z,front_x,front_y,front_z
0,0,0,0.0658416748,0.0358123779,-1.0007629395,0.0144195557,-0.9954223633,-0.035949707,0.0383758545,-0.9993896484,-0.0055084229,0.0471496582,-0.9971618652,-0.0092163086
0,0,0,0.0667114258,0.0385894775,-1.0012054443,0.013961792,-0.997177124,-0.0349884033,0.0387878418,-0.9997711182,-0.0072937012,0.0479888916,-0.9960174561,-0.0089416504
0,0,0,0.0645141602,0.0370941162,-1.0018310547,0.0135803223,-0.9972381592,-0.0366821289,0.0385894775,-0.9998931885,-0.0060424805,0.0477905273,-0.9963684082,-0.0085449219
0,0,0,0.0658569336,0.0362243652,-0.9987182617,0.014755249,-0.9968414307,-0.0362854004,0.0395965576,-1.0002288818,-0.0067901611,0.0482788086,-0.996673584,-0.009475708
0,0,0,0.0659484863,0.0354156494,-1.0002593994,0.0135803223,-0.9975585938,-0.0345306396,0.038192749,-1.0002288818,-0.0066070557,0.0482025146,-0.9976501465,-0.0093078613
0,0,0,0.0638580322,0.0371856689,-1.0006256104,0.0148010254,-0.9961853027,-0.0338745117,0.0385131836,-0.9998626709,-0.0059967041,0.0474700928,-0.9972229004,-0.0101165771
0,0,0,0.0667266846,0.036026001,-1.0012359619,0.0133056641,-0.9966430664,-0.0342254639,0.0383605957,-0.9995880127,-0.0057983398,0.0474700928,-0.9964904785,-0.0092468262
0,0,0,0.0647735596,0.036895752,-1.000213623,0.0144042969,-0.9969787598,-0.0348205566,0.0380554199,-0.9993286133,-0.0062713623,0.0481262207,-0.9955291748,-0.0079803467
0,0,0,0.0650177002,0.0360565186,-1.0024414063,0.0132141113,-0.9978485107,-0.036605835,0.0380401611,-0.9983062744,-0.0058898926,0.0471801758,-0.9960632324,-0.0083770752
0,0,0,0.0642242432,0.0385131836,-1.0001983643,0.0145874023,-0.9972991943,-0.0356903076,0.0390930176,-0.9995880127,-0.0065002441,0.0483398438,-0.9961700439,-0.0087280273
0,0,0,0.0646514893,0.0384674072,-1.001083374,0.0132904053,-0.9957122803,-0.036026001,0.0376281738,-0.9994659424,-0.0064086914,0.0481109619,-0.9959716797,-0.0083770752
0,0,0,0.0656433105,0.0371856689,-1.0018310547,0.0125274658,-0.9955444336,-0.0353088379,0.0387878418,-0.999130249,-0.0051879883,0.0482177734,-0.9960174561,-0.0086517334
0,0,0,0.0648956299,0.0343475342,-1.0004577637,0.0140228271,-0.9953308105,-0.0338134766,0.0389251709,-0.9996185303,-0.0061187744,0.0487365723,-0.9971466064,-0.0095062256
0,0,0,0.0653686523,0.0360107422,-1.0020751953,0.0137176514,-0.9957733154,-0.0364379883,0.038269043,-0.9995880127,-0.0062561035,0.0486297607,-0.9967803955,-0.0091094971
0,0,0,0.0649871826,0.0378570557,-1.0006256104,0.0128173828,-0.9957122803,-0.0339355469,0.0382537842,-0.9989776611,-0.0056152344,0.0474395752,-0.9968261719,-0.0094909668
0,0,0,0.0654754639,0.0369262695,-1.0011138916,0.0141296387,-0.9973297119,-0.0352325439,0.0390014648,-0.9996795654,-0.0062255859,0.0492553711,-0.9966430664,-0.0098876953
0,0,0,0.0660095215,0.0358123779,-0.9990386963,0.0142364502,-0.996887207,-0.0346374512,0.0388793945,-0.9990234375,-0.0060424805,0.0435180664,-0.9964447021,-0.0089263916
