is_walking,fsr_bottom,fsr_top,top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,corner_x,corner_y,corner_z,corner_timestamp,front_x,front_y,front_z,front_timestamp
0,0,0,0.0805511475,0.0500030518,-0.9954681396,87947.872526125,0.0280456543,-0.9964904785,-0.0260467529,8150.899155,0.0540008545,-0.9965820313,0.0241699219,34662.9336757917,0.0541534424,-1.0024108887,-0.0050201416,14839.963644875
0,0,0,0.034286499,0.0127716064,-1.0100708008,87947.913450125,0.0296783447,-0.994430542,-0.0309448242,8150.940561,0.0625305176,-1.0021362305,0.0189361572,34662.9751797917,0.0523681641,-1.0001373291,0.0307312012,14840.005453875
0,0,0,0.0890350342,0.113067627,-0.9822387695,87947.954375125,0.0058441162,-1.0000610352,-0.0330200195,8150.981815,0.0769500732,-1.0000305176,0.0436706543,34663.0166827917,0.0530853271,-0.9966583252,0.0144958496,14840.047262875
0,0,0,0.1265563965,0.2227020264,-0.9816894531,87947.995299125,-0.0043029785,-0.9952087402,-0.0496063232,8151.023215,0.0688476563,-0.9986877441,0.0391082764,34663.0581867917,0.0538787842,-0.9920043945,0.0097351074,14840.089041875
0,0,0,0.0187988281,0.0109558105,-0.9824523926,87948.036223125,0.0069122314,-1.001083374,-0.0603179932,8151.064617,0.0584716797,-1.001953125,0.0471343994,34663.0996907917,0.0542755127,-0.9910888672,0.0188598633,14840.130850875
0,0,0,0.0392608643,-0.0040130615,-1.0287475586,87948.077116125,-0.0119934082,-0.998916626,-0.0304260254,8151.106014,0.0604553223,-1.0055847168,0.0102233887,34663.1411947917,0.0501708984,-1.0002441406,0.0358276367,14840.172659875
0,0,0,0.0564422607,0.2340087891,-0.9535522461,87948.118040125,-0.0176849365,-0.9960784912,-0.0581359863,8151.147409,0.0470428467,-1.0002288818,0.0171966553,34663.1826987917,0.0643768311,-0.9888458252,0.0617218018,14840.214437875
0,0,0,0.0448608398,0.0115509033,-1.0021057129,87948.158964125,-0.0110321045,-0.9947052002,-0.0441131592,8151.188644,0.0495300293,-0.9991455078,0.0154266357,34663.2242027917,0.0449371338,-1.0005645752,0.047164917,14840.256246875
0,0,0,0.0418701172,0.0568695068,-1.0022125244,87948.199888125,-0.0046386719,-0.9966430664,-0.0208740234,8151.230037,0.0494537354,-0.9948120117,0.0194549561,34663.265710375,0.0505523682,-0.9899139404,0.0433044434,14840.298055875
0,0,0,0.055557251,0.0411987305,-1.0044555664,87948.240782125,-0.0010681152,-1.0043487549,-0.0262298584,8151.271438,0.0549316406,-0.9947967529,0.0215759277,34663.307214375,0.0605316162,-0.9876861572,0.0373077393,14840.339834875
0,0,0,0.0865478516,0.052947998,-0.999130249,87948.281706125,0.0004882813,-0.9929351807,-0.0578155518,8151.312835,0.0740966797,-0.9916381836,0.0299835205,34663.348718375,0.0787658691,-0.9929199219,-0.001739502,14840.381643875
0,0,0,0.0773925781,0.015411377,-1.0024261475,87948.322630125,0.0358734131,-1.0109710693,-0.0467529297,8151.354235,0.0536346436,-0.9998016357,0.0367431641,34663.390191375,0.0682830811,-0.9874725342,0.0072937012,14840.423452875
0,0,0,0.0704040527,0.0068206787,-1.0042572021,87948.363524125,0.0320129395,-1.0196228027,-0.0174560547,8151.395484,0.0562286377,-0.9967651367,0.0176544189,34663.431726375,0.0445098877,-0.989151001,-0.005279541,14840.465231875
0,0,0,0.0572662354,0.0633087158,-1.0016937256,87948.404448125,-0.0030822754,-0.974609375,-0.0202789307,8151.436886,0.0432281494,-0.996887207,0.0162963867,34663.473199375,-0.029876709,-1.0298919678,0.0209350586,14840.507048125
0,0,0,0.0483856201,0.1231689453,-0.9928436279,87948.445372125,0.0225067139,-1.0040435791,-0.0463562012,8151.478285,0.0466308594,-0.9989471436,0.007522583,34663.514703375,0.0796661377,-0.9933929443,0.1054840088,14840.548857125
0,0,0,0.0411224365,0.0599975586,-1.0011749268,87948.486296125,0.0085296631,-0.9791717529,-0.0655670166,8151.519691,0.0509643555,-0.9927368164,0.0060424805,34663.556207375,0.0319213867,-0.9999084473,0.1197814941,14840.590635125
0,0,0,0.0468902588,0.0758056641,-0.9969482422,87948.527189125,0.0274810791,-0.9864196777,-0.0640563965,8151.5611,0.0417022705,-0.9991455078,0.0046234131,34663.597711375,0.0562591553,-0.9971313477,0.0929107666,14840.632445125
0,0,0,0.0766906738,0.0702972412,-1.0000762939,87948.568114125,0.0724945068,-1.0200958252,-0.0089416504,8151.602352,0.0266571045,-1.0063323975,0.0036315918,34663.639215375,0.047088623,-0.9940032959,0.0333251953,14840.674254125
